Epoch	Loss_train	AUC_test	Precision_test	Recall_test
1	32.551058468583506	0.9168912529550827	0.9400544959128065	0.6117021276595744
2	21.750411361404986	0.9461820330969268	0.9446808510638298	0.7872340425531915
3	17.209038966735534	0.9437352245862884	0.9001919385796545	0.8315602836879432
4	12.789955808475497	0.9511524822695034	0.8122137404580153	0.9432624113475178
5	8.410277672859593	0.9660401891252955	0.8881239242685026	0.9148936170212766
6	4.966551366207568	0.9660978132387705	0.896551724137931	0.9219858156028369
7	4.7218248263193345	0.9679580378250592	0.8756218905472637	0.9361702127659575
8	3.944058169639675	0.9660904255319148	0.9150090415913201	0.8971631205673759
9	3.7419012472175837	0.9664568557919622	0.9513184584178499	0.8315602836879432
10	2.2084701547537406	0.9702689125295508	0.8887015177065767	0.9343971631205674
11	1.2822839944964244	0.9700029550827424	0.9075043630017452	0.9219858156028369
12	1.0024559861941498	0.9687721631205674	0.9232142857142858	0.9166666666666666
13	1.4653675706908302	0.9663622931442081	0.8758278145695364	0.9379432624113475
14	1.0799059151764254	0.9676329787234043	0.9083044982698962	0.9308510638297872
15	0.6084251665980673	0.9682565011820331	0.9153439153439153	0.9202127659574468
16	0.43890170857417843	0.9686066784869978	0.9114583333333334	0.9308510638297872
17	0.35674350215836625	0.9687559101654846	0.9094076655052264	0.925531914893617
18	0.3484266491156518	0.9685150709219857	0.9254545454545454	0.9024822695035462
19	0.4926914370866484	0.9679802009456264	0.9162210338680927	0.9113475177304965
20	0.4673027380692645	0.9683037825059102	0.9137323943661971	0.9202127659574468
21	0.21579560766889472	0.9687160165484633	0.9109947643979057	0.925531914893617
22	0.1660071161617509	0.968488475177305	0.9261261261261261	0.9113475177304965
23	0.21466183263126482	0.9689864066193854	0.9187279151943463	0.9219858156028369
24	0.20750539852411976	0.9686953309692672	0.9140350877192982	0.9237588652482269
25	0.14182031929415473	0.9688297872340426	0.9200710479573713	0.9184397163120568
26	0.14291802568459389	0.9689701536643026	0.9156414762741653	0.9237588652482269
27	0.12092586275781514	0.9690469858156029	0.9266547406082289	0.9184397163120568
28	0.13128251758126908	0.96875	0.9172535211267606	0.9237588652482269
29	0.13186197449070391	0.9683333333333334	0.9301075268817204	0.9202127659574468
30	0.18708063080971726	0.9683835697399527	0.9188712522045855	0.9237588652482269
31	0.1589202621561725	0.9684190307328604	0.9157894736842105	0.925531914893617
32	0.08428725712039409	0.9685076832151301	0.9154929577464789	0.9219858156028369
33	0.10787347423327276	0.9685653073286052	0.9202127659574468	0.9202127659574468
34	0.07839659155884249	0.9685889479905437	0.9140350877192982	0.9237588652482269
35	0.15125991282964435	0.9684648345153664	0.9202127659574468	0.9202127659574468
36	0.08044971752555341	0.9684441489361703	0.9202127659574468	0.9202127659574468
37	0.1088745689631736	0.9684500591016547	0.9233511586452763	0.9184397163120568
38	0.11257704912674171	0.9683835697399527	0.9234875444839857	0.9202127659574468
39	0.09680199591400651	0.9683421985815603	0.9203539823008849	0.9219858156028369
40	0.07753899818260379	0.9683421985815603	0.9185840707964602	0.9202127659574468
